track_name,artist_name,artist_count,released_year,released_month,released_day,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,number_characters
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,141381703,125,B,Major,80,89,83,31,0,8,4,35
LALA,Myke Towers,1,2023,3,23,133716286,92,C#,Major,71,61,74,7,0,10,4,4
vampire,Olivia Rodrigo,1,2023,6,30,140003974,138,F,Major,51,32,53,17,0,31,6,7
Cruel Summer,Taylor Swift,1,2019,8,23,166638087,170,A,Major,55,58,72,11,0,11,15,12
WHERE SHE GOES,Bad Bunny,1,2023,5,18,303236322,144,A,Minor,65,23,80,14,63,11,6,14
Sprinter,"Dave, Central Cee",2,2023,6,1,183706234,141,C#,Major,92,66,58,19,0,8,24,8
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,725980112,148,F,Minor,67,83,76,48,0,8,3,15
Columbia,Quevedo,1,2023,7,7,58149378,100,F,Major,67,26,71,37,0,11,4,8
fukumean,Gunna,1,2023,5,15,95217315,130,C,Minor,85,22,62,12,0,28,9,8
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,553634067,170,D,Minor,81,56,48,21,0,8,33,15
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,505671438,83,F#,Minor,57,56,72,23,0,27,5,9
Super Shy,NewJeans,1,2023,7,7,58255150,150,F,Minor,78,52,82,18,0,15,7,9
Daylight,David Kushner,1,2023,4,14,387570742,130,D,Minor,51,32,43,83,0,9,3,8
Kill Bill,SZA,1,2022,12,8,587362101,89,G#,Major,64,43,73,5,17,16,4,9
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,496795686,120,B,Minor,78,76,59,43,0,34,3,17
Classy 101,"Feid, Young Miko",2,2023,3,31,335222234,100,B,Major,86,67,66,14,0,12,16,10
Like Crazy,Jimin,1,2023,3,24,363369738,120,G,Major,63,36,73,0,0,36,4,10
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,86444842,140,F,Minor,65,87,74,22,0,42,4,9
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,52135248,123,F#,Major,69,82,76,6,0,6,3,51
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,200647221,133,F,Minor,85,81,67,26,0,12,5,40
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,115364561,99,C#,Major,85,83,68,7,0,36,20,93
SABOR FRESA,Fuerza Regida,1,2023,6,22,78300654,130,G,Minor,79,96,86,9,0,9,9,11
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,454087459,107,B,Major,80,82,80,43,0,14,4,29
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,61245289,122,F#,Minor,81,74,71,14,0,56,4,12
Last Night,Morgan Wallen,1,2023,1,31,429829812,204,F#,Major,52,52,68,46,0,15,4,10
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,127408954,110,B,Minor,67,78,85,2,0,33,5,39
Rush,Troye Sivan,1,2023,7,13,22581161,126,F,Minor,74,35,84,0,0,11,6,4
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,52294266,168,F#,Major,56,63,87,39,0,11,5,5
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,426198401,98,C#,Minor,71,17,61,36,0,8,5,8
Anti-Hero,Taylor Swift,1,2022,10,21,504872713,97,E,Major,64,51,63,12,0,19,5,9
TQG,"Karol G, Shakira",2,2023,2,23,618990393,180,E,Minor,72,61,63,67,0,9,28,3
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,188933502,150,F#,Major,61,39,73,37,0,11,3,30
Blank Space,Taylor Swift,1,2014,1,1,148121035,96,F,Major,75,57,68,9,0,13,6,11
Style,Taylor Swift,1,2014,1,1,85880223,95,D,Major,60,48,79,0,0,12,4,5
TQM,Fuerza Regida,1,2023,5,19,176553476,125,F,Minor,79,96,85,27,0,11,6,3
El Azul,"Junior H, Peso Pluma",2,2023,2,10,354495408,144,A,Minor,56,84,65,23,0,10,6,7
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,491724901,90,D,Major,76,91,50,54,0,7,5,45
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,560263565,128,G,Minor,56,38,97,4,0,35,4,15
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,158708777,79,F#,Major,56,58,56,37,0,11,10,13
Angels Like You,Miley Cyrus,1,2020,11,27,146935719,122,F,Major,67,49,64,10,0,10,3,15
Die For You,The Weeknd,1,2016,11,24,220703588,134,C#,Minor,59,51,52,9,0,15,7,11
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,343583074,186,G,Major,68,49,59,16,0,13,28,7
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,518745108,67,C#,Minor,53,50,53,23,0,44,7,19
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,107753850,106,A#,Minor,72,17,64,7,0,10,5,8
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,177740666,128,G,Major,60,23,91,0,0,12,3,18
AMARGURA,Karol G,1,2023,2,24,153372011,107,F#,Minor,92,55,70,18,0,15,7,8
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,57876440,130,G,Minor,67,96,88,12,19,8,4,28
Moonlight,Kali Uchis,1,2023,2,24,256483385,137,G,Minor,64,88,72,51,0,17,5,9
La Bachata,Manuel Turizo,1,2022,5,26,613111893,125,G,Minor,84,85,68,58,0,22,4,10
Tï¿½ï¿½,"dennis, MC Kevin o Chris",2,2023,5,4,111947664,130,B,Major,86,59,96,50,1,9,5,7
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,156338624,133,F,Major,70,86,81,25,0,25,5,18
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,363819171,101,D,Major,88,72,59,62,0,9,3,39
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,357925728,95,F,Minor,77,53,64,74,0,17,14,4
Hey Mor,"Ozuna, Feid",2,2022,10,6,340406606,98,C#,Minor,90,40,59,0,0,10,29,7
Karma,Taylor Swift,1,2022,10,21,204304164,90,G#,Major,64,10,62,7,0,48,7,5
People,Libianca,1,2022,12,2,188465916,198,A#,Minor,59,71,42,55,0,10,7,6
Overdrive,Post Malone,1,2023,7,14,14780425,140,C#,Major,56,48,73,0,0,35,4,9
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,39578178,82,G#,Major,51,22,53,1,0,15,3,28
